PicIdx,ms,MiB/s
0,34,847059
1,20,1.44e+06
2,20,1.44e+06
3,20,1.44e+06
4,20,1.44e+06
5,34,847059
6,20,1.44e+06
7,21,1.37143e+06
8,22,1.30909e+06
9,23,1.25217e+06
10,36,800000
11,25,1.152e+06
12,25,1.152e+06
13,25,1.152e+06
14,26,1.10769e+06
15,37,778378
16,24,1.2e+06
17,24,1.2e+06
18,23,1.25217e+06
19,23,1.25217e+06
20,35,822857
21,24,1.2e+06
22,23,1.25217e+06
23,25,1.152e+06
24,25,1.152e+06
25,38,757895
26,25,1.152e+06
27,25,1.152e+06
28,24,1.2e+06
29,24,1.2e+06
30,35,822857
31,22,1.30909e+06
32,21,1.37143e+06
33,21,1.37143e+06
34,21,1.37143e+06
35,33,872727
36,21,1.37143e+06
37,20,1.44e+06
38,21,1.37143e+06
39,21,1.37143e+06
40,33,872727
41,21,1.37143e+06
42,20,1.44e+06
43,20,1.44e+06
44,20,1.44e+06
45,32,900000
46,20,1.44e+06
47,20,1.44e+06
48,20,1.44e+06
49,19,1.51579e+06
50,32,900000
51,20,1.44e+06
52,20,1.44e+06
53,21,1.37143e+06
54,21,1.37143e+06
55,34,847059
56,22,1.30909e+06
57,23,1.25217e+06
58,23,1.25217e+06
59,23,1.25217e+06
60,36,800000
61,25,1.152e+06
62,25,1.152e+06
63,26,1.10769e+06
64,26,1.10769e+06
65,40,720000
66,28,1.02857e+06
67,29,993103
68,30,960000
69,31,929032
70,45,640000
71,33,872727
72,34,847059
73,35,822857
74,36,800000
75,50,576000
76,39,738462
77,41,702439
78,42,685714
79,44,654545
80,57,505263
81,46,626087
82,47,612766
83,48,600000
84,49,587755
85,62,464516
86,50,576000
87,50,576000
88,50,576000
89,49,587755
90,61,472131
91,49,587755
92,48,600000
93,48,600000
94,48,600000
95,62,464516
96,50,576000
97,51,564706
98,53,543396
99,55,523636
100,69,417391
101,59,488136
102,61,472131
103,63,457143
104,69,417391
105,80,360000
106,70,411429
107,73,394521
108,74,389189
109,77,374026
110,92,313043
111,82,351220
112,85,338824
113,88,327273
114,91,316484
115,107,269159
116,98,293878
117,101,285149
118,105,274286
119,108,266667
120,124,232258
121,113,254867
122,114,252632
123,114,252632
124,113,254867
125,125,230400
126,111,259459
127,111,259459
128,110,261818
129,109,264220
130,120,240000
131,107,269159
132,106,271698
133,104,276923
134,103,279612
135,114,252632
136,100,288000
137,99,290909
138,98,293878
139,96,300000
140,108,266667
141,95,303158
142,94,306383
143,93,309677
144,93,309677
145,104,276923
146,91,316484
147,91,316484
148,90,320000
149,91,316484
150,103,279612
151,91,316484
152,92,313043
153,92,313043
154,93,309677
155,106,271698
156,95,303158
157,96,300000
158,98,293878
159,99,290909
160,113,254867
161,101,285149
162,103,279612
163,104,276923
164,106,271698
165,119,242017
166,109,264220
167,109,264220
168,111,259459
169,113,254867
170,127,226772
171,117,246154
172,118,244068
173,121,238017
174,123,234146
175,137,210219
176,126,228571
177,127,226772
178,129,223256
179,131,219847
180,145,198621
181,136,211765
182,138,208696
183,140,205714
184,142,202817
185,155,185806
186,144,200000
187,146,197260
188,148,194595
189,150,192000
190,163,176687
191,152,189474
192,153,188235
193,152,189474
194,151,190728
195,163,176687
196,150,192000
197,150,192000
198,149,193289
199,149,193289
Total computation time: 14377ms
